#{"t_start": 1774617788.4858, "env_id": "None"}
r,l,t
0.57148206,63,11.492244
-1.8242528,63,11.499361
0.17384201,75,11.504556
-1.4229603,73,11.517003
-0.40425843,75,11.522407
-0.557756,75,11.530199
-1.5328457,66,11.532203
-0.44294405,75,11.535083
0.5582932,56,11.546189
1.7064567,75,11.57005
-3.317166,75,11.57451
0.028505087,47,11.577788
1.8509555,75,11.585744
0.23739982,75,11.590773
-2.648851,75,11.59773
-0.5645622,58,11.597763
0.07969779,75,11.600055
-0.051373303,61,12.42725
0.91077065,71,12.440346
1.1556826,75,12.447966
1.8947467,75,12.457789
-0.18688893,64,12.461634
0.63487697,75,12.464293
-0.8911418,75,12.471187
1.8222244,75,12.473084
0.3640213,58,12.482001
3.9803793,72,12.50969
0.67252403,61,12.515438
-2.8443754,71,12.516276
1.1106043,63,12.522014
1.0734432,56,12.522906
3.3748674,70,12.525678
0.82472163,75,12.541427
1.8914566,75,12.550154
-0.2689512,51,12.554685
0.52315587,57,12.576848
1.0960431,75,12.582355
0.70494896,75,12.583241
4.351669,71,12.585722
0.12399876,75,12.589926
-1.213453,59,12.594502
1.3775744,57,12.60144
2.0630145,75,12.622078
-0.44128376,59,12.637685
0.9812617,75,12.64307
2.2358294,75,12.648586
-0.5263334,75,12.649535
0.79341334,75,12.656262
3.068057,75,12.660901
